id,time,distance,x,y,goal,autogoal,penalty,onTarget,shooterId,gameId,assistedId,goalieId,teamId
6,18,30.48694943151553,36.07329842931937,30.27681660899654,f,f,t,f,5,3,5.0,7.0,28
7,31,11.00671088563182,34.03141361256544,10.89965397923875,t,f,f,t,7,3,8.0,,20
8,36,10.04295806521705,26.37434554973822,7.958477508650519,f,f,f,t,10,3,,,28
9,37,11.31619850124095,28.41623036649215,10.55363321799308,f,f,f,t,5,3,10.0,,28
10,45,11.66881261720926,38.45549738219896,10.03460207612457,t,f,f,t,10,3,5.0,,28
11,55,8.512327752541397,38.96596858638744,5.536332179930796,t,f,f,t,7,3,8.0,,20
13,67,18.81523534629787,25.52356020942409,17.47404844290658,f,f,f,f,7,3,,,20
14,78,11.34818371616229,26.8848167539267,9.86159169550173,f,f,f,f,8,3,,,20
15,6,6.936554754637906,34.71204188481676,6.57439446366782,f,f,f,t,10,4,,,28
16,18,6.114839380906565,33.35078534031413,6.055363321799308,f,f,f,f,5,4,,,28
17,20,10.80849240040087,36.92408376963351,9.86159169550173,t,f,f,t,10,4,,,28
18,23,8.851305108610358,29.43717277486911,8.304498269896193,f,f,f,t,9,4,,,22
19,25,14.31451004493259,36.75392670157068,13.66782006920415,t,f,f,t,5,4,,,28
20,35,10.38619969974483,32.15968586387434,10.38062283737024,f,f,f,t,5,4,,,28
21,45,2.941176470588235,32.5,2.941176470588235,t,f,f,t,10,4,5.0,,28
22,50,8.138606084867739,32.84031413612565,8.131487889273355,t,f,f,t,5,4,10.0,,28
23,65,,,,f,f,f,f,5,4,,,28
24,68,7.534194064861957,31.30890052356021,7.439446366782007,f,f,f,t,9,4,,,22
25,68,7.392841897464073,33.86125654450262,7.26643598615917,f,f,f,f,6,4,,,22
26,74,20.14664280643104,18.54712041884817,14.53287197231834,f,f,f,f,9,4,,,22
27,83,11.2840528043991,36.92408376963351,10.38062283737024,f,f,f,f,6,4,,,22
28,91,15.43737387582743,29.94764397905759,15.22491349480969,f,f,f,t,10,4,,,28
29,7,14.17119488628326,28.7565445026178,13.66782006920415,f,f,f,f,6,5,,,22
30,7,7.726422033016412,29.43717277486911,7.093425605536333,f,f,f,t,9,5,,,22
32,27,9.189364130909867,37.09424083769633,7.958477508650519,t,f,f,t,8,5,7.0,,20
34,36,,,,f,f,f,t,6,5,,,22
35,63,19.28862531813217,24.33246073298429,17.47404844290658,f,f,f,f,7,5,,,20
36,66,,,,f,f,f,f,7,5,,,20
37,78,15.23877862571013,41.51832460732984,12.28373702422145,f,f,f,t,9,5,,,22
38,79,8.175874937197406,31.64921465968586,8.131487889273355,f,f,f,t,6,5,9.0,,22
39,0,24.09111673654777,40.66753926701571,22.6643598615917,f,f,f,t,5,6,5.0,,15
40,12,,,,f,f,t,t,10,6,,7.0,30
41,29,7.26643598615917,32.5,7.26643598615917,t,f,f,t,6,6,10.0,,30
42,34,10.42890082238259,37.77486910994764,8.996539792387544,f,f,f,f,5,6,,,15
43,44,11.316789856177,38.62565445026178,9.515570934256056,f,f,f,f,5,6,7.0,,15
44,44,11.25838904358556,37.60471204188482,10.03460207612457,f,f,f,f,10,6,,,30
45,56,8.41532595296582,31.13874345549738,8.304498269896193,t,f,f,t,6,6,10.0,,30
46,60,11.31619850124094,36.58376963350785,10.55363321799308,t,f,f,t,10,6,6.0,,30
47,77,15.12961044895254,37.26439790575916,14.3598615916955,t,f,f,t,6,6,10.0,,30
48,77,14.44664126819787,39.81675392670157,12.45674740484429,f,f,f,f,10,6,,,30
49,91,24.61387777772983,25.86387434554974,23.70242214532872,f,f,f,t,5,6,,,15
50,6,22.49392396151292,32.84031413612565,22.49134948096886,f,f,f,f,6,7,,,30
51,14,7.660563129357441,29.60732984293194,7.093425605536333,f,f,f,t,6,7,,,30
52,15,22.67555378435694,22.63089005235602,20.41522491349481,f,f,f,f,6,7,,,30
53,17,16.49552374693261,37.94502617801047,15.57093425605536,f,f,f,t,6,7,,,30
54,28,15.79965590667237,20.58900523560209,10.38062283737024,f,f,f,t,10,7,,,30
55,32,13.05769367347934,25.86387434554974,11.24567474048443,t,f,f,t,6,7,10.0,,30
56,41,,,,f,f,t,f,10,7,,8.0,30
57,45,23.53925387173662,33.18062827225131,23.52941176470588,f,f,f,t,9,7,,,23
58,56,11.36302852604842,35.0523560209424,11.07266435986159,t,f,f,t,9,7,,,23
59,66,16.64021372563762,44.92146596858638,11.07266435986159,f,f,f,f,9,7,,,23
60,79,12.18532979764325,36.75392670157068,11.41868512110727,t,f,f,t,10,7,,,30
61,92,11.04050881897794,39.13612565445026,8.823529411764707,f,f,f,f,9,7,,,23
62,6,16.64701145484918,42.70942408376964,13.14878892733564,f,f,f,f,8,8,,,23
63,8,24.80604167494831,39.81675392670157,23.70242214532872,f,f,f,f,8,8,,,23
64,15,13.6870386076261,37.77486910994764,12.62975778546713,f,f,f,t,5,8,,,15
65,28,11.31619850124094,36.58376963350785,10.55363321799308,f,f,f,t,9,8,,,23
66,28,12.37278696573245,37.26439790575916,11.41868512110727,f,f,f,t,8,8,,,23
67,32,15.19588948908004,37.94502617801047,14.18685121107267,f,f,f,f,9,8,,,23
68,34,16.12805078767465,45.26178010471205,9.86159169550173,f,f,f,t,5,8,,,15
70,53,13.17868516529833,39.64659685863874,11.07266435986159,f,f,f,t,8,8,,,23
71,72,14.94234803535151,23.99214659685864,12.28373702422145,f,f,f,f,5,8,,,15
72,77,12.7912516373525,27.90575916230367,11.93771626297578,f,f,f,f,5,8,,,15
73,77,11.80201734360338,26.8848167539267,10.38062283737024,f,f,f,f,7,8,,,15
74,85,14.03493162321228,38.96596858638744,12.45674740484429,f,f,f,f,8,8,,,23
75,86,11.65530398487197,29.43717277486911,11.24567474048443,f,f,f,f,8,8,,,23
76,89,16.50951267430367,38.45549738219896,15.39792387543253,f,f,f,f,5,8,,,15
77,12,21.12882090491872,42.02879581151833,18.85813148788927,t,f,f,t,5,9,,,13
78,17,9.839081603791325,26.71465968586388,7.958477508650519,t,f,f,t,8,9,11.0,,35
79,22,15.44667422868383,22.29057591623037,11.5916955017301,f,f,f,f,5,9,,,13
80,28,14.07259297291893,22.46073298429319,9.86159169550173,f,f,f,f,11,9,,,35
81,30,15.73075274895096,42.53926701570681,12.11072664359862,f,f,f,f,11,9,,,35
82,35,14.12406026575767,23.31151832460733,10.72664359861592,f,f,f,f,6,9,,,13
83,40,16.187232957091,28.07591623036649,15.57093425605536,f,f,f,t,11,9,,,35
84,51,18.96880908181083,19.90837696335079,14.18685121107267,f,f,f,f,5,9,,,13
85,68,12.45674740484429,32.5,12.45674740484429,t,f,f,t,8,9,8.0,,35
86,73,16.0412151512483,39.9869109947644,14.18685121107267,f,f,f,t,11,9,,,35
87,23,7.316073238851729,31.64921465968586,7.26643598615917,t,f,f,t,11,10,10.0,,38
88,33,,,,f,f,f,t,11,10,,,38
89,35,14.83120726570061,39.9869109947644,12.80276816608997,t,f,f,t,11,10,10.0,,38
90,44,,,,f,f,f,f,11,10,,,38
91,45,,,,f,f,f,t,11,10,,,38
92,45,,,,f,f,f,f,11,10,,,38
93,62,,,,f,f,f,f,10,10,,,38
94,62,,,,f,f,f,t,11,10,,,38
95,65,,,,f,f,f,t,10,10,,,38
96,72,,,,f,f,f,t,5,10,,,21
97,78,12.72629922938323,24.67277486910995,10.03460207612457,f,f,f,t,11,10,,,38
98,83,12.18532979764325,36.75392670157068,11.41868512110727,t,f,f,t,10,10,11.0,,38
99,10,7.022169525722776,31.30890052356021,6.920415224913495,f,f,f,t,10,11,,,27
100,14,11.31026034904365,39.9869109947644,8.477508650519031,t,f,f,t,7,11,,,16
101,27,5.719476041124403,32.15968586387434,5.709342560553633,f,f,f,t,10,11,,,27
102,29,9.702019828124763,31.98952879581152,9.688581314878892,f,f,f,t,7,11,,,16
103,32,8.084650595475008,35.22251308900524,7.612456747404845,f,f,f,t,7,11,,,16
104,38,11.49378803012323,37.434554973822,10.38062283737024,f,f,f,t,10,11,9.0,,27
105,41,9.600998923235183,27.39528795811518,8.131487889273355,t,f,f,t,7,11,,,16
106,45,8.903560481237378,31.30890052356021,8.823529411764707,f,f,f,t,6,11,,,16
107,56,11.54476992738141,30.79842931937172,11.41868512110727,f,f,f,t,9,11,10.0,,27
108,61,7.017465811606139,35.73298429319372,6.228373702422145,f,f,f,t,7,11,6.0,,16
109,81,10.35486671205475,36.58376963350785,9.515570934256056,f,f,f,f,6,11,,,16
110,20,12.40102971778564,34.20157068062827,12.28373702422145,t,f,f,t,8,12,5.0,,18
111,31,15.95009105690137,22.12041884816754,12.11072664359862,f,f,f,t,8,12,,,18
112,31,,,,f,f,t,t,8,12,,6.0,18
113,33,8.692256047968277,31.64921465968586,8.650519031141869,f,f,f,f,8,12,,,18
114,36,15.66221283812626,25.86387434554974,14.18685121107267,f,f,f,t,7,12,,,16
115,44,14.26486872928387,28.41623036649215,13.66782006920415,f,f,f,t,7,12,,,16
116,45,11.44051204062439,25.0130890052356,8.650519031141869,f,f,f,t,7,12,,,16
117,50,9.62929606768119,40.49738219895288,5.363321799307958,f,f,f,f,6,12,,,16
118,53,12.74247696400873,41.34816753926702,9.16955017301038,f,f,f,t,6,12,,,16
119,65,32.18397935115942,33.01047120418848,32.17993079584775,f,f,f,t,5,12,,,18
120,73,8.91161483429048,35.73298429319372,8.304498269896193,f,f,f,f,5,12,,,18
121,75,10.9665744891875,28.07591623036649,10.03460207612457,f,f,f,t,5,12,,,18
122,78,18.27570959907109,40.83769633507853,16.26297577854671,t,f,f,t,7,12,,,16
123,90,14.77631849721446,26.8848167539267,13.66782006920415,f,f,f,f,5,12,,,18
124,5,14.44770586180934,36.37119113573407,13.91941391941392,t,f,f,t,5,13,8.0,,18
125,16,,,,f,f,t,f,10,13,,5.0,27
126,38,9.19787507825242,27.18836565096953,7.509157509157509,f,f,f,t,9,13,,,27
127,49,,,,t,f,f,t,5,13,8.0,,18
128,66,15.54300163457651,22.50692520775623,11.9047619047619,f,f,f,f,5,13,,,18
129,77,15.813518628472,27.54847645429363,15.01831501831502,f,f,f,f,10,13,,,27
130,78,14.61697654282617,23.76731301939058,11.72161172161172,f,f,f,f,10,13,,,27
131,84,13.37026647083293,32.40997229916898,13.36996336996337,f,f,f,t,5,13,,,18
132,90,17.10158785508328,30.96952908587258,17.03296703296703,f,f,f,t,5,13,,,18
133,5,16.84146611121584,46.69736842105263,9.059233449477352,f,f,f,f,7,17,,,29
134,12,17.26489022430482,35.06578947368421,17.07317073170732,t,f,f,t,10,17,7.0,,29
135,15,15.50778325991313,27.36842105263158,14.63414634146341,f,f,f,t,8,17,,,18
136,21,14.77792624227218,24.97368421052632,12.71777003484321,f,f,f,f,7,17,,,29
137,37,16.25977600520682,31.13157894736842,16.2020905923345,f,f,f,f,5,17,,,18
138,40,17.34440938087615,19.67105263157895,11.67247386759582,f,f,f,t,7,17,,,29
140,46,14.169098120006,20.69736842105263,7.8397212543554,f,f,f,t,5,17,,,18
141,46,13.15658072207883,34.03947368421052,13.06620209059234,f,f,f,t,8,17,,,18
142,53,18.46891067830584,44.81578947368421,13.76306620209059,f,f,f,t,5,17,,,18
143,59,13.19720856013631,38.6578947368421,11.67247386759582,f,f,f,t,7,17,,,29
144,62,17.99885999850148,44.30263157894737,13.58885017421603,f,f,f,f,5,17,,,18
145,65,11.33289994963082,37.63157894736842,10.10452961672474,f,f,f,f,5,17,,,18
146,71,14.57261299338158,37.28947368421053,13.76306620209059,f,f,f,f,8,17,,,18
147,80,16.78054081385389,43.44736842105263,12.71777003484321,f,f,f,t,8,17,,,18
148,89,12.13130821932681,40.36842105263158,9.233449477351916,f,f,f,t,5,17,,,18
149,11,23.33772861129965,51.89790575916231,12.9757785467128,f,f,f,f,7,18,,,16
150,18,10.2137552024247,35.73298429319372,9.688581314878892,f,f,f,t,8,18,,,31
151,24,7.126004607510881,31.81937172774869,7.093425605536333,f,f,f,f,8,18,,,31
152,27,8.47921613991746,32.32984293193717,8.477508650519031,t,f,f,t,8,18,,,31
153,31,2.076124567474048,32.5,2.076124567474048,f,f,f,f,6,18,,,16
154,35,13.49910005305076,32.15968586387434,13.49480968858132,f,f,f,t,6,18,,,16
155,40,7.284344362484151,33.01047120418848,7.26643598615917,f,f,f,t,8,18,,,31
156,41,8.048775807940597,34.54188481675393,7.785467128027681,f,f,f,f,10,18,,,31
157,44,15.73075274895096,22.46073298429319,12.11072664359862,f,f,f,t,7,18,,,16
158,45,11.25591122088017,36.41361256544503,10.55363321799308,t,f,f,t,6,18,7.0,,16
159,49,13.46321621653669,35.39267015706806,13.14878892733564,t,f,f,t,8,18,10.0,,31
160,52,8.338517185675435,29.09685863874346,7.612456747404845,f,f,f,t,10,18,,,31
161,52,5.961887562401772,30.28795811518324,5.536332179930796,t,f,f,t,10,18,8.0,,31
162,52,2.628518859483668,33.52094240837696,2.422145328719723,f,f,f,f,8,18,,,31
163,63,7.597944744540021,29.77748691099476,7.093425605536333,t,f,f,t,6,18,7.0,,16
164,63,9.01382624253585,35.56282722513089,8.477508650519031,f,f,f,t,10,18,8.0,,31
165,82,7.155581316976113,34.88219895287958,6.747404844290658,f,f,f,f,8,18,,,31
166,89,8.218260963012456,33.6910994764398,8.131487889273355,f,f,f,f,8,18,,,31
167,8,18.69111677075902,39.06565656565657,17.5,f,f,f,t,8,19,,,19
168,15,13.62315227022651,37.91666666666667,12.5,t,f,f,t,8,19,6.0,,19
169,28,8.541675158827262,40.21464646464647,3.666666666666667,f,f,f,t,8,19,,,19
170,28,12.87421289308864,42.02020202020202,8.666666666666668,f,f,f,t,6,19,,,19
171,35,10.83830617423481,32.17171717171718,10.83333333333333,f,f,f,t,8,19,,,19
172,45,10.94613636104392,36.11111111111111,10.33333333333333,f,f,f,t,6,19,,,19
173,55,7.743595357079175,28.56060606060606,6.666666666666667,t,f,f,t,8,19,,,19
174,66,12.0054820849405,29.0530303030303,11.5,f,f,f,t,6,19,,,19
175,67,6.640016463906924,34.96212121212121,6.166666666666667,f,f,f,t,8,19,,,19
176,78,11.33415479836798,36.76767676767677,10.5,t,f,f,t,5,19,,,15
177,83,11.01148546804833,25.11363636363636,8.166666666666666,f,f,f,t,8,19,,,19
178,83,10.36185579689061,37.91666666666667,8.833333333333334,f,f,f,f,6,19,,,19
179,90,12.50431004155549,32.82828282828283,12.5,f,f,f,t,7,19,,,15
180,90,8.946303969165323,35.29040404040404,8.5,f,f,f,f,5,19,,,15
181,90,,,,f,f,f,t,5,19,,,15
182,26,17.14666804638849,38.35180055401662,16.11721611721612,f,f,f,f,6,20,,,30
183,29,17.26363335183865,24.66759002770083,15.38461538461539,f,f,f,t,10,20,,,30
184,40,15.73204191381785,28.44875346260388,15.2014652014652,f,f,f,t,8,20,,,18
185,40,8.709048173300156,28.08864265927978,7.509157509157509,f,f,f,f,5,20,,,18
186,49,21.48564740563771,26.10803324099723,20.51282051282051,f,f,f,f,6,20,,,30
187,51,14.1343789577561,29.16897506925208,13.73626373626374,f,f,f,f,5,20,,,18
188,54,11.75592240097014,34.75069252077562,11.53846153846154,f,f,f,f,8,20,,,18
189,74,14.22355175191969,36.19113573407202,13.73626373626374,f,f,f,f,6,20,,,30
190,94,13.16023858953401,35.47091412742382,12.82051282051282,f,f,f,t,10,20,,,30
191,94,10.99684691586919,28.08864265927978,10.07326007326007,t,f,f,t,6,20,,,30
192,5,16.33413072055167,37.434554973822,15.57093425605536,t,f,f,t,10,21,5.0,,28
193,8,13.27313656845958,26.03403141361257,11.5916955017301,f,f,f,t,10,21,,,28
194,8,20.14839449065811,47.30366492146597,13.66782006920415,t,f,f,t,5,21,10.0,,28
195,18,,,,f,f,f,f,6,21,,,16
196,18,19.79118631855929,48.66492146596858,11.41868512110727,f,f,f,t,5,21,,,28
197,32,12.05325569859632,26.37434554973822,10.38062283737024,f,f,f,t,5,21,,,28
198,45,13.13943025209099,24.67277486910995,10.55363321799308,t,f,f,t,5,21,,,28
199,52,10.49567811030103,39.13612565445026,8.131487889273355,f,f,f,t,7,21,,,16
200,59,13.75909131099843,40.66753926701571,11.07266435986159,f,f,f,t,6,21,,,16
201,61,12.0433256993501,23.31151832460733,7.785467128027681,t,f,f,t,10,21,5.0,,28
202,66,,,,f,f,f,f,10,21,,,28
203,73,16.41155610983995,35.73298429319372,16.08996539792388,f,f,f,t,6,21,,,16
204,21,15.62573167436297,21.55263157894737,11.14982578397213,f,f,f,t,7,22,,,29
205,25,10.11755157141283,31.98684210526316,10.10452961672474,f,f,f,t,5,22,,,18
206,25,10.34631771421173,34.72368421052632,10.10452961672474,f,f,f,t,5,22,,,18
207,41,16.24244917896706,41.9078947368421,13.2404181184669,f,f,f,f,10,22,,,29
208,45,11.39254543420174,28.39473684210526,10.62717770034843,f,f,f,f,7,22,,,29
209,69,22.9476886821235,40.71052631578947,21.42857142857143,f,f,f,f,10,22,,,29
210,81,15.05877862618092,25.65789473684211,13.41463414634146,f,f,f,t,8,22,,,18
211,6,19.70715557376786,36.92408376963351,19.20415224913495,f,f,f,t,8,23,,,20
212,9,10.0073140027663,30.79842931937172,9.86159169550173,f,f,f,t,6,23,,,30
213,10,4.205634368781392,31.13874345549738,3.97923875432526,f,f,f,t,10,23,,,30
214,11,10.73878315927989,33.01047120418848,10.72664359861592,f,f,f,f,10,23,,,30
215,14,15.97472854404578,28.24607329842932,15.39792387543253,f,f,f,t,7,23,,,20
216,28,1.970386880412063,31.98952879581152,1.903114186851211,t,f,f,t,10,23,,,30
217,35,14.44571994761489,35.22251308900524,14.18685121107267,t,f,f,t,10,23,6.0,,30
218,46,9.565183108292258,29.77748691099476,9.16955017301038,f,f,f,t,6,23,,,30
219,54,6.794603695445189,27.73560209424084,4.844290657439446,f,f,f,t,7,23,,,20
220,67,12.75766974364603,37.434554973822,11.76470588235294,f,f,f,t,6,23,,,30
221,67,11.92377512480354,28.07591623036649,11.07266435986159,f,f,f,t,10,23,,,30
222,69,9.79543585873609,28.24607329842932,8.823529411764707,f,f,f,f,10,23,,,30
223,78,5.710884736538963,34.88219895287958,5.190311418685121,f,f,f,t,6,23,,,30
224,84,7.631559802910527,34.20157068062827,7.439446366782007,f,f,f,t,6,23,,,30
225,90,8.87183130948372,36.75392670157068,7.785467128027681,f,f,f,f,7,23,,,20
227,9,15.16197955136225,39.06565656565657,13.66666666666667,f,f,f,t,6,24,,,19
228,17,17.26977886259882,38.57323232323233,16.16666666666666,f,f,f,t,6,24,,,19
229,19,10.87285414457769,25.93434343434344,8.666666666666668,f,f,f,t,7,24,,,15
230,29,10.48989078312903,34.30555555555556,10.33333333333333,f,f,f,f,8,24,,,19
231,34,9.581969134081,29.70959595959596,9.166666666666666,f,f,f,f,6,24,,,19
232,38,18.83910636494555,38.57323232323233,17.83333333333334,f,f,f,t,8,24,,,19
233,42,12.89820308184581,28.72474747474747,12.33333333333333,f,f,f,t,8,24,,,19
234,43,5.294936704881674,35.29040404040404,4.5,f,f,f,t,8,24,,,19
235,45,16.76395864368567,36.27525252525253,16.33333333333333,f,f,f,f,6,24,,,19
236,46,11.23789040918681,39.22979797979798,9.0,f,f,f,t,6,24,,,19
237,50,11.11782395933926,40.70707070707071,7.5,t,f,f,t,7,24,,,15
238,53,11.46970697729839,39.3939393939394,9.166666666666666,t,f,f,t,6,24,8.0,,19
239,63,11.31770768955398,26.09848484848485,9.333333333333334,t,f,f,t,7,24,,,15
240,72,10.77690354817774,37.58838383838384,9.5,f,f,f,t,6,24,,,19
241,72,12.04941091877275,24.12878787878788,8.666666666666668,f,f,f,t,6,24,,,19
242,77,12.21020075173683,36.60353535353536,11.5,f,f,f,t,5,24,,,15
243,79,12.08731054522521,40.37878787878788,9.166666666666666,f,f,f,t,7,24,,,15
244,80,12.51656411957583,34.63383838383839,12.33333333333333,f,f,f,f,5,24,,,15
245,84,13.4591034552757,35.29040404040404,13.16666666666667,f,f,f,t,8,24,,,19
247,87,12.26650713221873,43.00505050505051,6.333333333333334,f,f,f,t,5,24,,,15
248,5,21.73895638778068,42.76315789473684,19.16376306620209,f,f,f,f,10,25,,,31
249,7,18.09241380323198,38.48684210526316,17.07317073170732,f,f,f,t,8,25,,,31
250,13,15.90867878989156,19.67105263157895,9.40766550522648,f,f,f,f,7,25,,,15
251,14,10.71221321138298,37.28947368421053,9.581881533101043,f,f,f,f,7,25,,,15
252,17,14.91899851355039,26.34210526315789,13.58885017421603,f,f,f,t,10,25,,,31
253,18,11.65658457896343,37.28947368421053,10.62717770034843,f,f,f,t,8,25,,,31
254,19,17.95729053528348,31.81578947368421,17.94425087108014,f,f,f,t,8,25,,,31
255,20,15.01508525619244,24.80263157894737,12.89198606271777,f,f,f,f,10,25,,,31
256,26,12.61665812042536,43.44736842105263,6.271777003484321,t,f,f,t,10,25,,,31
257,29,13.2153280277397,36.09210526315789,12.71777003484321,t,f,f,t,8,25,,,31
258,45,11.73407661108184,39.51315789473684,9.40766550522648,f,f,f,t,7,25,,,15
259,45,12.2537975844089,25.82894736842105,10.2787456445993,f,f,f,t,10,25,,,31
260,45,11.29843936602461,38.48684210526316,9.581881533101043,t,f,f,t,8,25,,,31
261,56,17.07154515403589,43.27631578947368,13.2404181184669,f,f,f,t,5,25,,,15
262,57,22.72636972233158,39.0,21.77700348432056,f,f,f,f,7,25,,,15
263,58,10.66760181629429,38.6578947368421,8.710801393728223,t,f,f,t,10,25,,,31
264,68,11.49953009263776,32.67105263157895,11.49825783972125,f,f,t,t,10,25,,,31
265,72,7.95825392427743,33.86842105263158,7.8397212543554,f,f,f,f,8,25,,,31
266,75,12.22630169243344,40.71052631578947,9.059233449477352,t,f,f,t,10,25,8.0,,31
267,84,14.04151055888459,42.25,10.10452961672474,f,f,f,t,10,25,,,31
268,85,8.998979219879907,27.02631578947368,7.142857142857142,t,f,f,t,8,25,10.0,,31
269,89,12.87845061055889,39.51315789473684,10.801393728223,t,f,f,t,10,25,8.0,,31
270,90,15.61711936918153,27.53947368421052,14.80836236933798,f,f,f,t,5,25,,,15
271,6,11.7661237569596,28.80886426592798,11.17216117216117,t,f,f,t,6,26,8.0,,19
272,16,13.19700224808306,30.24930747922438,13.00366300366301,t,f,f,t,6,26,8.0,,19
273,19,14.07892020368354,28.08864265927978,13.36996336996337,f,f,f,t,8,26,,,19
274,26,15.24632980420734,40.15235457063712,13.18681318681319,f,f,f,f,8,26,,,19
275,28,14.34191867231026,39.61218836565097,12.45421245421245,f,f,f,t,8,26,,,19
276,39,11.98020328568068,37.27146814404432,10.98901098901099,f,f,f,t,6,26,,,19
277,39,8.242049029855774,30.06925207756233,7.875457875457875,t,f,f,t,8,26,,,19
278,43,14.07892020368354,36.91135734072022,13.36996336996337,t,f,f,t,8,26,6.0,,19
279,53,13.19700224808306,30.24930747922438,13.00366300366301,t,f,f,t,8,26,6.0,,19
280,57,11.4731634370768,35.11080332409972,11.17216117216117,t,f,f,t,6,26,,,19
281,63,11.88630359612791,37.45152354570637,10.80586080586081,f,f,f,t,8,26,,,19
282,76,18.74749615069472,24.66759002770083,17.03296703296703,f,f,f,t,5,26,,,28
283,79,14.16192689842754,26.10803324099723,12.63736263736264,t,f,f,t,6,26,8.0,,19
284,85,9.772239630288318,27.54847645429363,8.424908424908425,f,f,f,f,6,26,,,19
